cough_rate;sweating;virus_resistance;aggressiveness;movement_speed;exhaustion_tolerance;pain_tolerance
1.257053;0.9499192;1.858652;1.141842;2.162513;0.9990207;1.326222
1.266073;0.948162;1.867751;1.136658;2.166244;1.015521;1.327
1.254911;0.9513232;1.878679;1.12728;2.163513;1.013759;1.32741
1.250439;0.9578663;1.87911;1.127836;2.166244;1.002087;1.327
1.235908;0.9469207;1.882389;1.117325;2.170465;1.019583;1.318093
1.231426;0.9610387;1.882417;1.123682;2.164381;1.021276;1.317867
1.224194;0.9622563;1.883069;1.147465;2.169217;1.008185;1.317435
1.233803;0.9610387;1.882185;1.156712;2.183522;1.001392;1.317867
1.274271;0.9352027;1.895864;1.156598;2.152973;0.9984255;1.31857
1.296492;0.9317314;1.89581;1.156473;2.150394;1.003367;1.319348
1.288202;0.9320307;1.880468;1.149245;2.154443;0.9807839;1.31882
1.288202;0.9320307;1.880468;1.149245;2.154443;0.9807839;1.31882
1.264572;0.9313458;1.872832;1.177507;2.156122;0.9576855;1.317867
1.268909;0.9446982;1.887165;1.154014;2.153449;0.9684911;1.318093
1.274028;0.9584066;1.885156;1.166564;2.153449;0.9580106;1.318093
1.258077;0.9577405;1.884598;1.183013;2.156046;0.9426103;1.317867
1.274645;0.9730217;1.898871;1.195361;2.149342;0.9412944;1.325149
1.300728;0.9730547;1.899541;1.159598;2.148587;0.9688463;1.341047
1.284289;0.9747655;1.890531;1.167094;2.151068;0.9552226;1.338698
1.279847;0.9751598;1.899832;1.189648;2.161912;0.938067;1.338157
1.268676;0.9751598;1.899009;1.196862;2.16402;0.9261086;1.352143
1.253407;0.970791;1.903327;1.184615;2.175633;0.894956;1.364859
1.247147;0.9720798;1.903324;1.221148;2.181965;0.8693776;1.362176
1.241963;0.9761469;1.892192;1.220853;2.190792;0.8901786;1.360515
1.250731;0.9861522;1.898811;1.212278;2.187763;0.8953469;1.359579
1.266672;0.9859515;1.899024;1.213051;2.195218;0.9063361;1.354392
1.266672;0.9859515;1.899024;1.213051;2.195218;0.9063361;1.354392
1.271439;0.9964342;1.900031;1.218215;2.198709;0.8977734;1.352973
1.272316;0.9964837;1.900077;1.241773;2.195837;0.8887575;1.352294
1.257809;1.012269;1.877394;1.239598;2.208728;0.9096346;1.348701
1.252971;1.009609;1.876353;1.264114;2.211795;0.8926597;1.347461
1.250648;1.009609;1.876353;1.257519;2.21634;0.893353;1.347461
1.239256;1.008013;1.877769;1.272098;2.227511;0.8673294;1.345176
1.23017;1.018888;1.855833;1.256693;2.230991;0.8713648;1.350208
1.207741;1.018652;1.855767;1.289279;2.241171;0.8378327;1.338697
1.201073;1.018652;1.837099;1.289248;2.241171;0.8353686;1.338697
1.201073;1.034683;1.837099;1.27718;2.241171;0.8454921;1.338697
1.203164;1.045723;1.837099;1.283116;2.241171;0.8473961;1.338697
1.218739;1.049231;1.854612;1.294379;2.248602;0.8456192;1.347202
1.22032;1.029609;1.849245;1.294503;2.246769;0.841801;1.348323
1.240598;1.045709;1.861966;1.253631;2.246914;0.8478158;1.35897
1.23976;1.056744;1.852026;1.252432;2.253091;0.834435;1.350208
1.221376;1.045565;1.852026;1.253209;2.258667;0.814467;1.355442
1.221376;1.045565;1.844548;1.253209;2.258667;0.814467;1.355442
1.230836;1.045565;1.86675;1.244767;2.258667;0.811804;1.346448
1.236124;1.054138;1.863255;1.272022;2.255731;0.7949972;1.346414
1.236124;1.065758;1.863255;1.272022;2.255731;0.8049967;1.345968
1.245625;1.07783;1.863255;1.272981;2.260037;0.825987;1.345968
1.276621;1.086488;1.864774;1.274491;2.263799;0.8419811;1.34414
1.278008;1.097667;1.866071;1.286855;2.261624;0.8257377;1.34414
1.284903;1.102876;1.883847;1.261101;2.256265;0.8268688;1.333063
1.282719;1.126342;1.884354;1.254316;2.270974;0.8291541;1.344747
1.278342;1.117358;1.883844;1.256894;2.269671;0.8421459;1.345847
1.265983;1.113752;1.887871;1.256894;2.262564;0.8305896;1.358535
1.26002;1.117815;1.926028;1.271447;2.277309;0.8306361;1.341802
1.265793;1.127755;1.926551;1.269986;2.289035;0.8316173;1.339166
1.273336;1.132301;1.929988;1.304566;2.289798;0.8104299;1.338277
1.287413;1.148283;1.932013;1.307691;2.293655;0.8250847;1.33702
1.294615;1.157705;1.927566;1.287173;2.295031;0.8403208;1.330861
1.294542;1.15178;1.928793;1.292302;2.301078;0.852559;1.331934
1.290667;1.149783;1.938324;1.290547;2.301316;0.8459261;1.341369
1.302612;1.14384;1.95242;1.295956;2.307787;0.8422707;1.342903
1.327378;1.140754;1.940134;1.313642;2.287879;0.8289864;1.344568
1.315783;1.147349;1.958565;1.307366;2.28696;0.8341768;1.345761
1.331627;1.170812;1.95902;1.284177;2.312385;0.8296213;1.340367
1.308829;1.189551;1.956368;1.276708;2.322076;0.8528108;1.320962
1.327139;1.207388;1.961626;1.257922;2.341652;0.847823;1.340211
1.337989;1.19965;1.961895;1.263745;2.347333;0.8247518;1.340211
1.350441;1.208458;1.964763;1.249536;2.35631;0.8361316;1.341807
1.323662;1.198979;1.965671;1.274276;2.342574;0.8157887;1.34266
1.321238;1.190983;1.967187;1.301992;2.311539;0.806644;1.342084
1.299379;1.189393;1.967541;1.300084;2.310769;0.7867463;1.333726
1.286705;1.189393;1.982101;1.300084;2.308981;0.7739826;1.339897
1.288605;1.182857;1.98946;1.317031;2.3138;0.7435886;1.339534
1.282489;1.172559;1.9898;1.319356;2.301058;0.7411974;1.342486
