at_home;at_hospital;wandering;chasing;going_home;going_to_hospital
29;0;43;5;43;0
37;0;44;1;38;0
39;0;44;0;37;0
42;0;50;0;28;0
38;0;45;2;35;0
34;0;46;3;37;0
37;0;43;6;34;0
28;0;47;5;40;0
34;0;47;5;34;0
40;0;42;1;37;0
36;0;41;4;39;0
29;0;42;7;42;0
34;0;46;3;37;0
39;0;37;5;39;0
41;0;33;2;44;0
41;0;43;3;33;0
42;0;46;3;29;0
37;0;55;1;27;0
32;0;51;5;32;0
34;0;45;6;35;0
35;0;42;6;37;0
34;0;47;3;36;0
34;0;42;4;40;0
37;0;49;2;32;0
37;0;40;4;39;0
36;0;38;6;40;0
46;0;38;7;29;0
41;0;43;2;34;0
34;0;48;4;34;0
36;0;47;3;34;0
39;0;45;5;31;0
30;0;46;8;36;0
30;0;49;5;36;0
39;0;38;5;38;0
36;0;34;5;45;0
44;0;27;6;43;0
42;0;50;3;25;0
43;0;40;4;33;0
36;0;39;5;40;0
35;0;39;5;41;0
38;0;37;7;38;0
38;0;41;5;36;0
40;0;43;4;33;0
40;0;43;7;30;0
39;0;35;8;38;0
30;0;40;9;41;0
39;0;40;5;36;0
38;0;35;8;39;0
46;0;36;8;30;0
43;0;44;4;29;0
39;0;44;10;27;0
30;0;51;8;31;0
33;0;41;8;38;0
30;0;44;4;42;0
28;0;39;7;46;0
42;0;36;8;34;0
46;0;31;6;37;0
39;0;37;7;37;0
37;0;40;9;34;0
36;0;48;7;29;0
36;0;36;9;39;0
34;0;39;5;42;0
34;0;37;6;43;0
47;0;35;5;33;0
47;0;31;6;36;0
46;0;41;9;24;0
41;0;42;13;24;0
35;0;42;11;32;0
30;0;40;7;43;0
34;0;37;7;42;0
39;0;34;6;41;0
42;0;37;5;36;0
43;0;38;7;32;0
40;0;42;11;27;0
37;0;36;9;37;1
29;0;38;9;43;1
31;1;41;11;36;0
43;1;40;8;28;0
38;1;37;7;37;0
28;1;39;12;40;0
30;1;45;8;36;0
37;1;45;10;27;0
42;0;24;11;43;0
43;0;25;8;44;0
54;0;25;8;33;0
45;0;43;8;24;0
38;0;49;12;21;0
33;0;43;13;31;0
25;0;44;9;42;0
23;0;37;12;48;0
35;0;31;11;43;0
36;0;31;12;41;0
46;0;26;10;38;0
46;0;31;11;32;0
42;0;44;4;30;0
44;0;39;9;28;0
31;0;47;9;33;0
29;0;42;8;41;0
34;0;37;11;38;0
37;0;39;6;38;0
35;0;35;8;42;0
42;0;32;12;34;0
53;0;30;8;29;0
44;0;32;10;34;0
38;0;43;12;27;0
33;0;50;12;25;0
29;0;40;20;31;0
24;0;43;16;37;0
27;0;38;17;38;0
33;0;25;11;51;0
38;0;19;15;48;0
55;0;19;9;37;0
57;0;29;12;22;0
50;0;35;14;21;0
38;0;41;18;23;0
33;0;46;18;23;0
29;0;40;12;39;0
27;0;35;10;48;0
32;0;28;10;50;0
30;0;30;7;53;0
44;0;23;9;44;0
57;0;21;10;32;0
58;0;28;13;21;0
43;0;36;19;22;0
34;0;40;18;28;0
31;0;45;13;31;0
32;0;40;11;37;0
35;0;37;9;39;0
38;0;30;16;36;0
43;0;25;12;40;0
49;0;23;16;31;1
49;0;32;13;24;2
41;2;33;18;26;0
41;2;37;14;26;0
37;2;38;17;26;0
36;2;30;20;32;0
38;2;27;19;34;0
38;2;25;22;33;0
41;2;25;18;34;0
41;0;26;13;40;0
44;0;32;10;34;0
41;0;34;13;32;0
43;0;37;13;27;0
37;0;36;15;32;0
28;0;29;25;37;1
34;0;25;20;40;1
35;0;21;23;40;1
45;0;27;20;28;0
40;0;32;14;34;0
43;0;32;14;31;0
40;0;39;13;28;0
38;0;36;13;33;0
35;0;23;19;43;0
37;0;28;19;36;0
47;0;25;13;35;0
42;0;25;22;31;0
40;0;31;22;27;0
43;0;27;26;24;0
36;0;29;20;35;0
32;0;30;18;40;0
36;0;38;12;34;0
34;0;29;20;37;0
34;0;26;24;36;0
34;0;22;25;39;0
45;0;17;26;32;0
49;0;16;17;38;0
48;0;23;16;33;0
50;0;23;20;27;0
52;0;19;30;19;0
48;0;26;21;25;0
31;0;34;24;31;0
30;0;30;26;34;0
30;0;24;26;39;1
35;0;20;21;43;1
49;1;20;20;30;0
52;1;24;19;24;0
52;1;25;21;21;0
44;1;31;21;23;0
34;1;25;36;24;0
29;1;29;30;31;0
36;1;23;26;34;0
44;1;19;16;40;0
48;1;17;20;33;1
49;0;17;22;31;1
43;1;26;24;26;0
43;1;30;24;22;0
37;1;30;23;29;0
30;1;30;27;32;0
33;1;25;24;37;0
42;1;23;20;34;0
40;1;19;19;41;0
47;0;18;19;35;1
52;0;22;20;25;1
50;0;18;24;27;1
44;0;30;22;23;1
38;0;29;24;28;1
34;0;30;28;27;1
25;0;31;22;41;1
29;0;34;19;38;0
42;0;23;19;36;0
50;0;22;18;30;0
52;0;25;18;24;1
46;0;18;29;26;1
35;0;27;31;25;2
41;0;25;28;24;2
34;1;27;23;34;1
35;1;29;16;38;1
49;1;24;16;29;1
43;1;27;18;30;1
46;1;22;25;25;1
43;1;18;30;27;1
40;1;28;22;28;1
43;1;27;25;23;1
36;1;30;32;21;0
45;0;27;25;23;0
39;0;25;29;27;0
34;0;24;25;37;0
37;0;22;25;36;0
